ticker_clean,record_count
ACCESS,1297
FIRSTBANK,1295
NB,1282
FCMB,1281
AIICO,1268
FLOURMILL,1267
UBA,1263
DANGSUGAR,1257
CADBURY,1254
JBERGER,1250
